CHR	原始拆分	替换拆分
滂	氵立丶一ㄋ丿	氵立丶一ㄋ丿
啕	口勹丿一一丨	口勹丿一一丨
蛎	虫广一ㄋ丿丿	虫广一ㄋ丿丿
翊	立羽ㄋ丶一ㄋ	立羽ㄋ丶一ㄋ
龊	止口丨一丿丶	止口丨一丿丶
槁	木丨ㄋ一一	木丨ㄋ一一
獭	犬束丿ㄋ丨ㄋ	犬束丿ㄋ丨ㄋ
莘	艹辛丶一丶丿	艹辛丶一丶丿
邺	业耳ㄋ丨丨丨	业耳ㄋ丨丨丨
燮	讠火丶丿丿丶	讠火丶丿丿丶
铛	金ㄋ一一一	金ㄋ一一一
剁	几木丨丨丨丨	几木丨丨丨丨
觐	堇见丨ㄋ丿ㄋ	堇见丨ㄋ丿ㄋ
谗	讠象丿ㄋ丶丶	讠象丿ㄋ丶丶
臃	月亠ㄋㄋ丿丿	月亠ㄋㄋ丿丿
镍	金自一丨丿丶	金自一丨丿丶
晔	日化一丨丨丨	日化一丨丨丨
墒	土立丨ㄋ一丨	土立丨ㄋ一丨
燔	火釆丨ㄋ一丨	火釆丨ㄋ一丨
嘭	口壴丿丿丿丿	口壴丿丿丿丿
涿	氵豕丶丶丶丶	氵豕丶丶丶丶
醯	西亡丿丨ㄋ丨	西亡丿丨ㄋ丨
箩	四丿ㄋ丶丶	四丿ㄋ丶丶
睨	目鼠丿ㄋㄋㄋ	目鼠丿ㄋㄋㄋ
鄱	釆田ㄋ丨丨丨	釆田ㄋ丨丨丨
鹭	各丿ㄋ丶ㄋ	各丿ㄋ丶ㄋ
坳	土幺ㄋ丿丿丿	土幺ㄋ丿丿丿
砷	石日丨丨丨丨	石日丨丨丨丨
诤	讠争丿ㄋㄋ一	讠争丿ㄋㄋ一
唏	口乂丨ㄋ丨丨	口乂丨ㄋ丨丨
蚩	山笔丨ㄋ一丨	山笔丨ㄋ一丨
琥	王虍丿ㄋㄋㄋ	王虍丿ㄋㄋㄋ
猬	犬田丨ㄋ一一	犬田丨ㄋ一一
殁	歹殳丿ㄋㄋ丶	歹殳丿ㄋㄋ丶
伲	亻尸丿ㄋㄋㄋ	亻尸丿ㄋㄋㄋ
泾	氵轻ㄋ丶一丨	氵轻ㄋ丶一丨
缥	纟西一一丨丿	纟西一一丨丿
殓	歹亼丶丶丿一	歹亼丶丶丿一
鳅	鱼禾丶丿丿丶	鱼禾丶丿丿丶
芷	艹止丨一丨一	艹止丨一丨一
舫	舟方丶一ㄋ丿	舟方丶一ㄋ丿
逅	广鬲丶ㄋ丶丶	广鬲丶ㄋ丶丶
嶙	山米丿ㄋ丶一	山米丿ㄋ丶一
诋	讠氏丶丶丶丶	讠氏丶丶丶丶
刍	刍丿ㄋㄋ一一	刍丿ㄋㄋ一一
氰	气青一一丨一	气青一一丨一
唰	口尸丨ㄋ丨丨	口尸丨ㄋ丨丨
呓	口艹ㄋㄋㄋㄋ	口艹ㄋㄋㄋㄋ
茁	艹山ㄋ丨丨丨	艹山ㄋ丨丨丨
骧	马亠丨ㄋ一丨	马亠丨ㄋ一丨
馑	食堇一丨丨一	食堇一丨丨一
妫	女笔ㄋ丿丶丶	女笔ㄋ丿丶丶
袂	衤匚丿丶丶丶	衤匚丿丶丶丶
峋	山勹丨ㄋ一一	山勹丨ㄋ一一
苷	艹甘一丨丨一	艹甘一丨丨一
擢	扌羽丿丨丶一	扌羽丿丨丶一
懑	氵艹一丨ㄋ丿	氵艹一丨ㄋ丿
蓑	艹一丿ㄋ丿	艹一丿ㄋ丿
踹	山一丿丨ㄋ	山一丿丨ㄋ
祉	衤止丨一丨一	衤止丨一丨一
涞	氵夹丨丿丶丶	氵夹丨丿丶丶
沏	氵七ㄋ丿丿丿	氵七ㄋ丿丿丿
掇	扌双ㄋ丶ㄋ丶	扌双ㄋ丶ㄋ丶
噫	口音丶ㄋ丶丶	口音丶ㄋ丶丶
诳	讠犬一一丨一	讠犬一一丨一
饽	食ㄋ丨一一	食ㄋ丨一一
绺	纟文丨丶丶丶	纟文丨丶丶丶
饪	食王丿一丨一	食王丿一丨一
谘	讠次丨ㄋ一一	讠次丨ㄋ一一
迳	轻辶丶ㄋ丶丶	轻辶丶ㄋ丶丶
飧	歹食丿丶丶ㄋ	歹食丿丶丶ㄋ
铡	金贝丨丨丨丨	金贝丨丨丨丨
枞	木从丿丶丿丶	木从丿丶丿丶
熨	尸示一丨丶丶	尸示一丨丶丶
鋈	氵天丿丶一一	氵天丿丶一一
荭	艹纟一丨一一	艹纟一丨一一
赊	贝人一一丨丿	贝人一一丨丿
戛	石目一ㄋ丿丶	石目一ㄋ丿丶
俦	亻丰一丨丶丶	亻丰一丨丶丶
幺	幺ㄋㄋ丶丶丶	幺ㄋㄋ丶丶丶
湎	氵面一丿丨ㄋ	氵面一丿丨ㄋ
龌	止尸一ㄋ丶一	止尸一ㄋ丶一
芪	艹氏丿ㄋ一ㄋ	艹氏丿ㄋ一ㄋ
觯	角单丶丿丨ㄋ	角单丶丿丨ㄋ
凇	冫木丿丶ㄋ丶	冫木丿丶ㄋ丶
嬴	赢女ㄋ丿一一	赢女ㄋ丿一一
挞	扌大丶ㄋ丶丶	扌大丶ㄋ丶丶
嘁	口戊丨一一一	口戊丨一一一
苻	荷寸一丨丶丶	荷寸一丨丶丶
鞯	革艹一丿丨ㄋ	革艹一丿丨ㄋ
肽	月大丶丶丶丶	月大丶丶丶丶
恸	忄云ㄋ丿丿丿	忄云ㄋ丿丿丿
钰	金王丶丶丶丶	金王丶丶丶丶
迨	厶口丶ㄋ丶丶	厶口丶ㄋ丶丶
儆	亻艹丿ㄋ丨ㄋ	亻艹丿ㄋ丨ㄋ
讫	讠ㄋㄋㄋㄋ	讠ㄋㄋㄋㄋ
觎	亼月丨丨丨ㄋ	亼月丨丨丨ㄋ
僮	亻立丨ㄋ一一	亻立丨ㄋ一一
龇	止此丨一丨一	止此丨一丨一
滓	氵宀丶一丶丿	氵宀丶一丶丿
媾	女共丨ㄋ一丨	女共丨ㄋ一丨
涮	氵尸丨ㄋ丨丨	氵尸丨ㄋ丨丨
胯	月大一一ㄋㄋ	月大一一ㄋㄋ
绾	纟宀丨ㄋ一ㄋ	纟宀丨ㄋ一ㄋ
赳	走丩ㄋ丨丨丨	走丩ㄋ丨丨丨
斛	角冫一丨丨丨	角冫一丨丨丨
杈	木双丶丶丶丶	木双丶丶丶丶
觥	角光丨丶丿一	角光丨丶丿一
疸	疒旦丨ㄋ一一	疒旦丨ㄋ一一
卞	笔下一丨丶丶	笔下一丨丶丶
愠	忄日丨ㄋ丨丨	忄日丨ㄋ丨丨
烨	火化一丨丨丨	火化一丨丨丨
庠	广羊丶丿一一	广羊丶丿一一
拮	扌吉一丨一丨	扌吉一丨一丨
龢	合吅丨ㄋ一丨	合吅丨ㄋ一丨
窈	穴幺ㄋ丿丿丿	穴幺ㄋ丿丿丿
菠	落皮ㄋ丿丨ㄋ	落皮ㄋ丿丨ㄋ
罄	土尸丿ㄋㄋ丶	土尸丿ㄋㄋ丶
腴	月鼠丿丶丶丶	月鼠丿丶丶丶
弁	厶开一丿丨丨	厶开一丿丨丨
囤	口屯一ㄋ丨ㄋ	口屯一ㄋ丨ㄋ
咣	口光丨丶丿一	口光丨丶丿一
奘	片土一丿丶丶	片土一丿丶丶
缫	纟川丨ㄋ一一	纟川丨ㄋ一一
缈	纟目丨丿丶丿	纟目丨丿丶丿
潢	氵共丨ㄋ一丨	氵共丨ㄋ一丨
喵	口艹丨ㄋ一丨	口艹丨ㄋ一丨
柚	木甲丨ㄋ一丨	木甲丨ㄋ一丨
遛	留田丶ㄋ丶丶	留田丶ㄋ丶丶
藜	艹禾丿ㄋㄋㄋ	艹禾丿ㄋㄋㄋ
荻	艹犬丶丿丿丶	艹犬丶丿丿丶
琨	王日一ㄋ丿ㄋ	王日一ㄋ丿ㄋ
郏	夹人ㄋ丨丨丨	夹人ㄋ丨丨丨
镳	金鹿丶丶丶丶	金鹿丶丶丶丶
雉	矢隹丿丨丶一	矢隹丿丨丶一
橐	石一丨丿丶	石一丨丿丶
艮	艮ㄋ一一ㄋ丿	艮ㄋ一一ㄋ丿
骈	马䒑一丿丨丨	马首一丿丨丨
蛉	虫令丿丶丶ㄋ	虫令丿丶丶ㄋ
濡	氵一丿丨ㄋ	氵一丿丨ㄋ
搽	扌艹丿丶一丨	扌艹丿丶一丨
柩	木匚丿ㄋ丶丶	木匚丿ㄋ丶丶
寮	宀大丶丶丨ㄋ	宀大丶丶丨ㄋ
啷	口笔ㄋ一一ㄋ	口笔ㄋ一一ㄋ
佗	亻宀丿ㄋㄋㄋ	亻宀丿ㄋㄋㄋ
诜	讠先丿一丨一	讠先丿一丨一
偻	亻米ㄋ丿一一	亻米ㄋ丿一一
夯	大力ㄋ丿丿丿	大力ㄋ丿丿丿
闱	门韦一一ㄋ丨	门韦一一ㄋ丨
筠	土丿ㄋ丶一	土丿ㄋ丶一
虻	虫亡丶一ㄋㄋ	虫亡丶一ㄋㄋ
夥	日木丿ㄋ丶丿	日木丿ㄋ丶丿
枸	木勹丨ㄋ一一	木勹丨ㄋ一一
膑	月宀丿丨一丨	月宀丿丨一丨
谖	讠爪一一丿ㄋ	讠爪一一丿ㄋ
臾	鼠人丿丶丶丶	鼠人丿丶丶丶
笞	厶丨ㄋ一一	厶丨ㄋ一一
埽	土尹丶ㄋ丨ㄋ	土尹丶ㄋ丨ㄋ
婀	女耳一丨ㄋ一	女耳一丨ㄋ一
珞	王各丿ㄋ丶丨	王各丿ㄋ丶丨
粑	米巴ㄋ丨一ㄋ	米巴ㄋ丨一ㄋ
殒	歹口丨ㄋ丿丶	歹口丨ㄋ丿丶
觊	山巴丨ㄋ丿ㄋ	山巴丨ㄋ丿ㄋ
怵	忄木丶丶丶丶	忄木丶丶丶丶
崂	山萝ㄋ丿丿丿	山萝ㄋ丿丿丿
绻	纟ㄋㄋㄋㄋ	纟ㄋㄋㄋㄋ
昱	日立丶一丶丿	日立丶一丶丿
颧	艹吅丿丨丶一	艹吅丿丨丶一
榛	木一丨丿丶	木一丨丿丶
嗑	口去丨ㄋ丨丨	口去丨ㄋ丨丨
蜴	虫日丿ㄋ丿丿	虫日丿ㄋ丿丿
鳝	鱼羊丶丿一丨	鱼羊丶丿一丨
噙	口人丶一丿丶	口人丶一丿丶
淼	水水丨ㄋ丿丶	水水丨ㄋ丿丶
矾	石几丶丶丶丶	石几丶丶丶丶
囿	口石丨ㄋ一一	口石丨ㄋ一一
硼	石月丿ㄋ一一	石月丿ㄋ一一
邂	角刀丿一一丨	角刀丿一一丨
蠹	石丨ㄋ一丨	石丨ㄋ一丨
钜	金匚ㄋ一一一	金匚ㄋ一一一
泅	氵口丿丶丶丶	氵口丿丶丶丶
垩	亚土一丨一一	亚土一丨一一
嗝	口鬲一丨ㄋ一	口鬲一丨ㄋ一
乩	占乙ㄋㄋㄋㄋ	占乙ㄋㄋㄋㄋ
淦	氵金丿丶一一	氵金丿丶一一
樽	木酋一丨丶丶	木酋一丨丶丶
诮	讠丨ㄋ一一	讠丨ㄋ一一
啐	口亠丿丶丿丶	口亠丿丶丿丶
淅	氵木丿丿一丨	氵木丿丿一丨
揆	扌一一丿丶	扌祭一一丿丶
榉	木丿丶一一	木丿丶一一
辔	纟车ㄋㄋ一丨	纟车ㄋㄋ一丨
骛	矛文ㄋㄋ一一	矛文ㄋㄋ一一
鱿	鱼尢丶丶丶丶	鱼尢丶丶丶丶
暹	日隹丶ㄋ丶丶	日隹丶ㄋ丶丶
馗	九䒑丿丨ㄋ一	九首丿丨ㄋ一
獠	犬大丶丶丨ㄋ	犬大丶丶丨ㄋ
犷	犬广丶一丿丿	犬广丶一丿丿
竦	立束一丨ㄋ一	立束一丨ㄋ一
苫	艹占丨一丨ㄋ	艹占丨一丨ㄋ
詈	四讠丶一一一	四讠丶一一一
篙	丨ㄋ一一	丨ㄋ一一
诨	讠冖一ㄋ一丨	讠冖一ㄋ一丨
滢	氵萝一一丨一	氵萝一一丨一
峒	山冂一丨ㄋ一	山冂一丨ㄋ一
蜚	非虫丨ㄋ一丨	非虫丨ㄋ一丨
馄	食日一ㄋ丿ㄋ	食日一ㄋ丿ㄋ
铰	金六丿丶丶丶	金六丿丶丶丶
靓	青见丨ㄋ丿ㄋ	青见丨ㄋ丿ㄋ
琬	王宀丿ㄋ丶ㄋ	王宀丿ㄋ丶ㄋ
璨	王卜丿ㄋ丶丿	王卜丿ㄋ丶丿
犟	弓口丨ㄋ一丨	弓口丨ㄋ一丨
狻	犬厶丿丶丿ㄋ	犬厶丿丶丿ㄋ
螨	虫艹一丨ㄋ丿	虫艹一丨ㄋ丿
鸬	卜尸丿ㄋ丶ㄋ	卜尸丿ㄋ丶ㄋ
嘹	口大丶丶丨ㄋ	口大丶丶丨ㄋ
芩	艹令丿丶丶ㄋ	艹令丿丶丶ㄋ
锟	金日一ㄋ丿ㄋ	金日一ㄋ丿ㄋ
蜇	折虫丨ㄋ一丨	折虫丨ㄋ一丨
栉	木艹ㄋ丨丨丨	木艹ㄋ丨丨丨
洹	氵笔丨ㄋ一一	氵笔丨ㄋ一一
俪	亻丽一丨ㄋ丶	亻丽一丨ㄋ丶
钍	金土一丨一一	金土一丨一一
瑁	王日丨ㄋ一一	王日丨ㄋ一一
锨	金丘丿ㄋ丿丶	金丘丿ㄋ丿丶
壹	豆一丨ㄋ一	豆一丨ㄋ一
痿	疒禾ㄋ丿一一	疒禾ㄋ丿一一
竑	立石ㄋ丶丶丶	立石ㄋ丶丶丶
犄	牛大一丨ㄋ一	牛大一丨ㄋ一
粕	米白丿丨ㄋ一	米白丿丨ㄋ一
瘙	疒双丶丨ㄋ一	疒双丶丨ㄋ一
衲	衤内丨ㄋ丿丶	衤内丨ㄋ丿丶
饯	食戋一一ㄋ丿	食戋一一ㄋ丿
抟	扌二ㄋ丶丶丶	扌二ㄋ丶丶丶
踮	广丨一丨ㄋ	广丨一丨ㄋ
龅	止勹ㄋ一ㄋㄋ	止勹ㄋ一ㄋㄋ
馥	禾日丿一丨ㄋ	禾日丿一丨ㄋ
愎	忄丨ㄋ一一	忄丨ㄋ一一
梏	木告丿一丨一	木告丿一丨一
邝	广耳ㄋ丨丨丨	广耳ㄋ丨丨丨
讣	讠卜丨丶丶丶	讠卜丨丶丶丶
鲟	鱼尹一丨丶丶	鱼尹一丨丶丶
趺	夫一一丿丶	夫一一丿丶
艿	艹乃ㄋ丿丿丿	艹乃ㄋ丿丿丿
绉	纟刍丿ㄋㄋ一	纟刍丿ㄋㄋ一
剜	宀歹ㄋㄋ丨丨	宀歹ㄋㄋ丨丨
罅	缶虍丿丶丿一	缶虍丿丶丿一
笥	㇉一丨ㄋ一	Z一丨ㄋ一
衩	衤双丶丶丶丶	衤双丶丶丶丶
姣	女六丿丶丶丶	女六丿丶丶丶
斫	石丘丿丿一丨	石丘丿丿一丨
鹗	吅二ㄋ丿ㄋ丶	吅二ㄋ丿ㄋ丶
窕	穴儿丶一丿丶	穴儿丶一丿丶
猕	犬弓丿ㄋ丨丿	犬弓丿ㄋ丨丿
爻	乂乂丿丶丶丶	乂乂丿丶丶丶
晗	日令丨ㄋ一一	日令丨ㄋ一一
铩	金乂一丨丿丶	金乂一丨丿丶
搡	扌双ㄋ丶ㄋ丶	扌双ㄋ丶ㄋ丶
崴	山戊一ㄋ丿一	山戊一ㄋ丿一
仨	亻三一一一一	亻三一一一一
酢	西乍丿一丨一	西乍丿一丨一
璀	王山丿丨丶一	王山丿丨丶一
佞	亻二ㄋ丿一一	亻二ㄋ丿一一
檄	木白丶一ㄋ丿	木白丶一ㄋ丿
岷	山民ㄋ一ㄋ一	山民ㄋ一ㄋ一
邕	川口ㄋ丨一ㄋ	川口ㄋ丨一ㄋ
舛	歹㐄一ㄋ丨丨	歹年一ㄋ丨丨
闿	门山ㄋ一ㄋㄋ	门山ㄋ一ㄋㄋ
霁	文丿丨丨丨	文丿丨丨丨
铂	金白丿丨ㄋ一	金白丿丨ㄋ一
犒	牛丨ㄋ一一	牛丨ㄋ一一
麒	鹿其一丨丨一	鹿其一丨丨一
阈	门戋丨ㄋ一一	门戋丨ㄋ一一
馏	食留丨ㄋ一丨	食留丨ㄋ一丨
麋	鹿米丶丿一丨	鹿米丶丿一丨
妍	女开一一丿丨	女开一一丿丨
涔	氵山丿丶丶ㄋ	氵山丿丶丶ㄋ
摁	扌因丶ㄋ丶丶	扌因丶ㄋ丶丶
宥	宀石丨ㄋ一一	宀石丨ㄋ一一
铤	金王ㄋ丶丶丶	金王ㄋ丶丶丶
锷	金吅一一ㄋㄋ	金吅一一ㄋㄋ
苁	艹从丿丶丿丶	艹从丿丶丿丶
嗲	口父丿ㄋ丶丿	口父丿ㄋ丶丿
恽	忄冖一ㄋ一丨	忄冖一ㄋ一丨
麂	鹿几丿ㄋㄋㄋ	鹿几丿ㄋㄋㄋ
胛	月甲丨ㄋ一一	月甲丨ㄋ一一
赝	广亻丿丨丶一	广亻丿丨丶一
哂	口西一丨ㄋ丿	口西一丨ㄋ丿
噘	口广丶丿一ㄋ	口广丶丿一ㄋ
呶	口女ㄋ丶丶丶	口女ㄋ丶丶丶
飨	幺笔丿丶丶ㄋ	幺笔丿丶丶ㄋ
撷	扌吉一丿丨ㄋ	扌吉一丿丨ㄋ
栎	木留丨丿丶丶	木留丨丿丶丶
懔	忄亠丨ㄋ丨ㄋ	忄亠丨ㄋ丨ㄋ
桎	木至一ㄋ丶一	木至一ㄋ丶一
霰	共丨ㄋ一一	共丨ㄋ一一
娣	女弓丶丿ㄋ一	女弓丶丿ㄋ一
揄	扌亼丨ㄋ一一	扌亼丨ㄋ一一
噔	口一丨ㄋ一	口祭一丨ㄋ一
咤	口宀丿一ㄋㄋ	口宀丿一ㄋㄋ
忝	天小丨丶丶丶	天小丨丶丶丶
薏	艹音丶ㄋ丶丶	艹音丶ㄋ丶丶
贲	十艹丨ㄋ丿丶	十艹丨ㄋ丿丶
迤	也丶ㄋ丶丶	也丶ㄋ丶丶
泸	氵卜ㄋ一丿丿	氵卜ㄋ一丿丿
嗵	口甬丶ㄋ丶丶	口甬丶ㄋ丶丶
胪	月卜ㄋ一丿丿	月卜ㄋ一丿丿
鍪	矛文丿丶一一	矛文丿丶一一
咿	口亻ㄋ一一丿	口亻ㄋ一一丿
鹌	大日ㄋ丿ㄋ丶	大日ㄋ丿ㄋ丶
蔫	艹正ㄋ一丶丶	艹正ㄋ一丶丶
僖	亻壴丨ㄋ一一	亻壴丨ㄋ一一
刈	乂刂丨丨丨丨	乂刂丨丨丨丨
嗪	口一丨丿丶	口一丨丿丶
铨	金人一一丨一	金人一一丨一
嵘	山萝一丨丿丶	山萝一丨丿丶
岫	山甲丨ㄋ一丨	山甲丨ㄋ一丨
茏	艹龙一丿ㄋ丿	艹龙一丿ㄋ丿
茯	荷犬一丿丶丶	荷犬一丿丶丶
怼	双寸丶ㄋ丶丶	双寸丶ㄋ丶丶
轱	车十丨ㄋ一一	车十丨ㄋ一一
昕	日丘丿丿一丨	日丘丿丿一丨
郢	口王ㄋ丨丨丨	口王ㄋ丨丨丨
咩	口羊丶丿一一	口羊丶丿一一
馊	食鼠丨ㄋ丶丶	食鼠丨ㄋ丶丶
澧	氵甲一丨ㄋ一	氵甲一丨ㄋ一
髡	长笔丿ㄋㄋㄋ	长笔丿ㄋㄋㄋ
濯	氵羽丿丨丶一	氵羽丿丨丶一
盥	鼠水丨ㄋ丨丨	鼠水丨ㄋ丨丨
苣	艹匚ㄋ一一一	艹匚ㄋ一一一
囡	口女ㄋ丿一一	口女ㄋ丿一一
砺	石广一ㄋ丿丿	石广一ㄋ丿丿
佘	人示一一丨丿	人示一一丨丿
翦	前羽ㄋ丶一ㄋ	前羽ㄋ丶一ㄋ
弑	乂木一ㄋ丶一	乂木一ㄋ丶一
楂	木木丨ㄋ一一	木木丨ㄋ一一
谶	讠从一ㄋ丿丶	讠从一ㄋ丿丶
霏	非丨一一一	非丨一一一
怩	忄尸丿ㄋㄋㄋ	忄尸丿ㄋㄋㄋ
楹	木乃ㄋ丶丨ㄋ	木乃ㄋ丶丨ㄋ
蠼	虫目丨ㄋ一一	虫目丨ㄋ一一
讴	讠区一丿丶ㄋ	讠区一丿丶ㄋ
锲	金丰ㄋ丿丿丿	金丰ㄋ丿丿丿
慵	忄广ㄋ一一丨	忄广ㄋ一一丨
砭	石笔丶ㄋ丶丶	石笔丶ㄋ丶丶
胝	月氏丶丶丶丶	月氏丶丶丶丶
杵	木一丨丨丨	木一丨丨丨
潍	氵纟丿丨丶一	氵纟丿丨丶一
樾	木走一ㄋㄋ丿	木走一ㄋㄋ丿
帼	巾口一一丨一	巾口一一丨一
碣	石日丿ㄋ丿丶	石日丿ㄋ丿丶
裟	氵少丶一丿ㄋ	氵少丶一丿ㄋ
诌	讠刍丿ㄋㄋ一	讠刍丿ㄋㄋ一
胴	月冂一丨ㄋ一	月冂一丨ㄋ一
啶	口定丶丶ㄋ一	口定丶丶ㄋ一
徕	彳夹丨丿丶丶	彳夹丨丿丶丶
钴	金古一丨丨ㄋ	金古一丨丨ㄋ
楫	木口一丨丨一	木口一丨丨一
赭	赤者一丨一丿	赤者一丨一丿
铣	金先丿一丨一	金先丿一丨一
铱	金衣丶一丿ㄋ	金衣丶一丿ㄋ
酊	西于一丨丨丨	西于一丨丨丨
魑	鬼㐫丨ㄋㄋ丶	鬼离丨ㄋㄋ丶
醛	西艹丿丶一一	西艹丿丶一一
碛	石丰丨ㄋ丿丶	石丰丨ㄋ丿丶
剐	口内丨丨丨丨	口内丨丨丨丨
陂	耳皮ㄋ丿丨ㄋ	耳皮ㄋ丿丨ㄋ
畦	田圭一丨一一	田圭一丨一一
阄	门鱼丨ㄋ一一	门鱼丨ㄋ一一
闶	门亠丿ㄋㄋㄋ	门亠丿ㄋㄋㄋ
祚	衤乍丿一丨一	衤乍丿一丨一
鹘	骨鸟丿ㄋ丶ㄋ	骨鸟丿ㄋ丶ㄋ
骅	马化一丨丨丨	马化一丨丨丨
泱	氵冂一丿丶丶	氵冂一丿丶丶
趄	走目丨ㄋ一一	走目丨ㄋ一一
陲	耳垂丿一丨一	耳垂丿一丨一
倜	亻冂一丨一丨	亻冂一丨一丨
燧	火冫一丿ㄋ丿	火冫一丿ㄋ丿
呤	口令丿丶丶ㄋ	口令丿丶丶ㄋ
铉	金亠ㄋㄋ丶丶	金亠ㄋㄋ丶丶
郧	口贝ㄋ丨丨丨	口贝ㄋ丨丨丨
粲	卜歹ㄋ丶丶丿	卜歹ㄋ丶丶丿
骶	骨氏丶丶丶丶	骨氏丶丶丶丶
髭	长此丨一丨一	长此丨一丨一
忸	忄丑ㄋ丨一一	忄丑ㄋ丨一一
骞	寒马ㄋㄋ一一	寒马ㄋㄋ一一
渌	氵尹丨ㄋ丿丶	氵尹丨ㄋ丿丶
戡	其乙一ㄋ丿丶	其乙一ㄋ丿丶
峁	山留丿ㄋ丿ㄋ	山留丿ㄋ丿ㄋ
谲	讠矛丨ㄋ丿丶	讠矛丨ㄋ丿丶
锃	金口一一丨一	金口一一丨一
苋	艹见丨ㄋ丿ㄋ	艹见丨ㄋ丿ㄋ
钨	金勹ㄋ一一一	金勹ㄋ一一一
蜊	虫禾丨丨丨丨	虫禾丨丨丨丨
骊	马丽一丨ㄋ丶	马丽一丨ㄋ丶
幄	巾尸一ㄋ丶一	巾尸一ㄋ丶一
戕	片戋一ㄋ丿丶	片戋一ㄋ丿丶
闼	门大丶ㄋ丶丶	门大丶ㄋ丶丶
虢	爪寸丨一ㄋ丿	爪寸丨一ㄋ丿
妲	女旦丨ㄋ一一	女旦丨ㄋ一一
袈	加衣丶一丿ㄋ	加衣丶一丿ㄋ
烩	火人一一ㄋ丶	火人一一ㄋ丶
傥	亻丿ㄋㄋㄋ	亻丿ㄋㄋㄋ
桠	木亚一丨丨丶	木亚一丨丨丶
绌	纟山ㄋ丨丨丨	纟山ㄋ丨丨丨
揿	扌金丿ㄋ丿丶	扌金丿ㄋ丿丶
薮	艹米ㄋ丿一丿	艹米ㄋ丿一丿
肓	亡月丨ㄋ一一	亡月丨ㄋ一一
杲	日木一丨丿丶	日木一丨丿丶
氤	气因丨ㄋ一丿	气因丨ㄋ一丿
莅	荷立丶一丶丿	荷立丶一丶丿
厝	广共丨ㄋ一一	广共丨ㄋ一一
缙	纟亚丨ㄋ一一	纟亚丨ㄋ一一
衮	六厶丿ㄋ丿丶	六厶丿ㄋ丿丶
旖	族大一丨ㄋ一	族大一丨ㄋ一
诟	讠广一丨ㄋ一	讠广一丨ㄋ一
硒	石西一丨ㄋ丿	石西一丨ㄋ丿
颦	止小一丿丨ㄋ	止小一丿丨ㄋ
裱	衤丰丿ㄋ丿丶	衤丰丿ㄋ丿丶
唁	口讠丶一一一	口讠丶一一一
嬗	女亠丨ㄋ丨ㄋ	女亠丨ㄋ丨ㄋ
硎	石开一一丿丨	石开一一丿丨
靥	广犬一丿丨ㄋ	广犬一丿丨ㄋ
礴	石落一丨ㄋ一	石落一丨ㄋ一
煨	火田一一一一	火田一一一一
鏖	鹿金丿丶一一	鹿金丿丶一一
纥	纟ㄋㄋㄋㄋ	纟ㄋㄋㄋㄋ
羿	羽开一丿丨丨	羽开一丿丨丨
笏	勿丿ㄋ丿丿	勿丿ㄋ丿丿
蝈	虫口一一丨一	虫口一一丨一
炜	火韦一一ㄋ丨	火韦一一ㄋ丨
煲	亻呆丶丿丿丶	亻呆丶丿丿丶
锉	金从一丨一一	金从一丨一一
湟	氵白一一丨一	氵白一一丨一
甑	曾瓦一ㄋㄋ丶	曾瓦一ㄋㄋ丶
鼐	乃目ㄋ一丿丨	乃目ㄋ一丿丨
笕	见丨ㄋ丿ㄋ	见丨ㄋ丿ㄋ
妪	女区一丿丶ㄋ	女区一丿丶ㄋ
嶂	山音一丨丨丨	山音一丨丨丨
弭	弓耳一丨丨一	弓耳一丨丨一
浔	氵尹一丨丶丶	氵尹一丨丶丶
喑	口音丶一丶丿	口音丶一丶丿
锂	金田丨ㄋ一一	金田丨ㄋ一一
颏	亥页一丿丨ㄋ	亥页一丿丨ㄋ
醴	西甲一丨ㄋ一	西甲一丨ㄋ一
孳	䒑幺ㄋㄋ丶ㄋ	首幺ㄋㄋ丶ㄋ
苡	艹以ㄋ丶丿丶	艹以ㄋ丶丿丶
渚	氵者一丨一丿	氵者一丨一丿
轭	车广ㄋㄋㄋㄋ	车广ㄋㄋㄋㄋ
蚝	虫毛丿一一ㄋ	虫毛丿一一ㄋ
鹬	矛冂丿丶丨ㄋ	矛冂丿丶丨ㄋ
耦	未日丨ㄋ丨一	未日丨ㄋ丨一
覃	西日一丨丨丨	西日一丨丨丨
膘	月西一一丨丿	月西一一丨丿
痨	疒萝ㄋ丿丿丿	疒萝ㄋ丿丿丿
褡	衤艹丿丶一丨	衤艹丿丶一丨
邛	工耳ㄋ丨丨丨	工耳ㄋ丨丨丨
馔	食巴ㄋ一ㄋ一	食巴ㄋ一ㄋ一
篾	四一丿ㄋ丿	四一丿ㄋ丿
兖	六厶丿ㄋㄋㄋ	六厶丿ㄋㄋㄋ
遨	敖辶丶ㄋ丶丶	敖辶丶ㄋ丶丶
艄	舟丨ㄋ一一	舟丨ㄋ一一
爰	爪笔一丿ㄋ丶	爪笔一丿ㄋ丶
痂	疒加ㄋ丿丨ㄋ	疒加ㄋ丿丨ㄋ
阋	门鼠丿ㄋㄋㄋ	门鼠丿ㄋㄋㄋ
耨	未辰一丨丶丶	未辰一丨丶丶
邋	川口丿丶ㄋ丶	川口丿丶ㄋ丶
昶	笔㇉ㄋ丿丶丨	笔Zㄋ丿丶丨
秣	禾未丨丿丶丶	禾未丨丿丶丶
